"ID","category","fuel","scientific_name","states"
46,"Grass","Big Galleta","Pleuraphis rigida","AZ, NM, NV, UT, CA"
47,"Grass","Big Sacaton","Sporobolus wrightii","AZ, NM, OK, SC, TX, UT, CA"
48,"Shrub","Bilberry, Dwarf","Vaccinium cespitosum","AK, CA, CO, ID, ME, MI, MN, MT, NH, NM, NV, NY, OR, UT, VT, WA, WI, WY"
49,"Shrub","Birch, Bog","Betula pumila","CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NH, NJ, NY, OH, OR, VT, WA, WI, CA"
50,"Tree","Birch, European White","Betula pendula","CO, CT, IA, IL, IN, KY, MA, ME, MI, NH, NJ, NY, OH, OR, PA, VA, VT, WA, WI"
51,"Tree","Birch, Gray","Betula populifolia","CT, DE, IL, IN, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, VA, VT, WV"
52,"Tree","Birch, Paper","Betula papyrifera","AK, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NY, OH, OR, PA, RI, SD, TN, VA, VT, WA, WI, WV, WY"
53,"Shrub","Birch, Resin","Betula glandulosa","AK, CO, ID, ME, MT, NH, NY, OR, SD, UT, WA, WY, CA"
54,"Tree","Birch, River","Betula nigra","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV"
55,"Tree","Birch, Sweet","Betula lenta","AL, CT, DE, GA, KY, MA, MD, ME, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV"
56,"Tree","Birch, Yellow","Betula alleghaniensis","CT, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
57,"Shrub","Bitterbrush, Antelope","Purshia tridentata","AZ, CO, ID, MT, NE, NM, NV, OR, UT, WA, WY"
58,"Shrub","Bitterbrush, Desert","Purshia glandulosa","AZ, NV, UT, CA"
59,"Tree","Black Hawthorn","Crataegus douglasii","AK, ID, MI, MN, MT, ND, NV, OR, SD, WA, WI, WY, CA"
60,"Shrub","Blackberry, California","Rubus ursinus","ID, MT, OR, WA"
61,"Shrub","Blackbrush","Coleogyne ramosissima","AZ, CO, NV, UT, CA"
62,"Tree","Blackgum","Nyssa sylvatica","AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
63,"Shrub","Blueberry, Oval-Leaf","Vaccinium ovalifolium","AK, ID, MI, MT, OR, SD, WA"
64,"Grass","Bluegrass, Bulbous","Poa bulbosa","AR, AZ, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
65,"Grass","Bluegrass, Canada","Poa compressa","AK, AL, AR, AZ, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
66,"Grass","Bluegrass, Kentucky","Poa pratensis","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, CA"
